nombre_club,cantidad_managers,jugadores_nuevos_usados,jugadores_usados
RCD Mallorca,1,17,32
Deportivo Alavés,2,14,32
CA Osasuna,1,15,31
RCD Espanyol Barcelona,4,14,31
Atlético Madrid,1,10,30
Getafe CF,1,15,30
Real Valladolid CF,1,12,30
Celta de Vigo,2,13,30
CD Leganés,3,17,29
Levante UD,1,13,29
Valencia CF,3,10,28
FC Barcelona,2,9,28
Real Sociedad,1,9,27
Granada CF,1,15,27
Real Betis Balompié,2,12,27
Sevilla FC,1,16,26
Real Madrid,1,6,26
SD Eibar,1,10,26
Athletic Bilbao,1,3,26
Villarreal CF,1,10,25
